TidalBase_Dmel_TE#	Flybase_code	Flybase_name	Embl_Symbol	Size	Comment	Class	Repbase_name	repClass	repFamily	Repbase_Notes	Accession	Brenneckebase_name	AltName	Length	Brenneckebase_Note
1	FBgn0000004	17.6	X01472	7439	complete	retro-LTR	DM176_I-int	LTR	Gypsy		X01472	17.6	DMIS176	7439bp	"AKA(J01060,J01061) Derived from X01472"
1	FBgn0000004	17.6	X01472	7439	complete	retro-LTR	DM176_LTR	LTR	Gypsy		X01472	17.6	DMIS176	7439bp	"AKA(J01060,J01061) Derived from X01472"
2	FBgn0000005	297	X03431	6995	complete	retro-LTR	DM297_I-int	LTR	Gypsy		X03431	297	DMIS297	6995bp	Derived from X03431 (g8146)
2	FBgn0000005	297	X03431	6995	complete	retro-LTR	DM297_LTR	LTR	Gypsy		X03431	297	DMIS297	6995bp	Derived from X03431 (g8146)
3	FBgn0000006	412	nnnnnnnn	7567	complete	retro-LTR	DM412	LTR	Gypsy		nnnnnnnn	412	412	7567bp	   
3	FBgn0000006	412	nnnnnnnn	7567	complete	retro-LTR	DM412_I	LTR	Gypsy		nnnnnnnn	412	412	7567bp	
3	FBgn0000006	412	nnnnnnnn	7567	complete	retro-LTR	DM412B_LTR	LTR	Gypsy		nnnnnnnn	412	412	7567bp	
3	FBgn0000006	412	nnnnnnnn	7567	complete	retro-LTR	TLD1	LTR	Gypsy		nnnnnnnn	412	412	7567bp	
4	FBgn0000007	1731	X07656	4648	complete	retro-LTR	DM1731_I-int	LTR	Copia		X07656	1731	DMTN1731	4648bp	Derived from X07656 (g8700)
4	FBgn0000007	1731	X07656	4648	complete	retro-LTR	DM1731_LTR	LTR	Copia		X07656	1731	DMTN1731	4648bp	Derived from X07656 (g8700)
5	FBgn0005384	3S18	U23420	6126	complete	retro-LTR	BEL_I-int	LTR	Pao		U23420	3S18	DM23420	6126bp	Derived from U23420 (g733531)
5	FBgn0005384	3S18	U23420	6126	complete	retro-LTR	BEL_LTR	LTR	Pao		U23420	3S18	DM23420	6126bp	Derived from U23420 (g733531)
6	FBgn0063447	accord	nnnnnnnn	7404	complete	retro-LTR	ACCORD_I-int	LTR	Gypsy		nnnnnnnn	accord	ACCORD	7404bp	
6	FBgn0063447	accord	nnnnnnnn	7404	complete	retro-LTR	ACCORD_LTR	LTR	Gypsy		nnnnnnnn	accord	ACCORD	7404bp	
7	FBgn0063782	accord2	AF541947	7650	complete	retro-LTR	ACCORD2_I-int	LTR	Gypsy		AF541947	accord2	QBERT	7650bp	
7	FBgn0063782	accord2	AF541947	7650	complete	retro-LTR	ACCORD2_LTR	LTR	Gypsy		AF541947	accord2	QBERT	7650bp	
8	FBgn0010103	aurora-element	AB022762	4263	?complete	retro-LTR	NINJA_I-int	LTR	Pao		AB022762	aurora-element	DMAURA	4263bp	Derived from AB022762 (d1268008)
8	FBgn0010103	aurora-element	AB022762	4263	?complete	retro-LTR	NINJA_LTR	LTR	Pao		AB022762	aurora-element	DMAURA	4263bp	Derived from AB022762 (d1268008)
9	FBgn0000199	blood	nnnnnnnn	7410	complete	retro-LTR	BLOOD_I-int	LTR	Gypsy		AY180916	blood	BLOOD	7410bp	
9	FBgn0000199	blood	nnnnnnnn	7410	complete	retro-LTR	BLOOD_LTR	LTR	Gypsy		AY180916	blood	BLOOD	7410bp	
10	FBgn0010302	Burdock	U89994	6411	complete	retro-LTR	BURDOCK_I-int	LTR	Gypsy		U89994	Burdock	DMU89994	6411bp	Derived from U89994 (g1905850)
10	FBgn0010302	Burdock	U89994	6411	complete	retro-LTR	BURDOCK_LTR	LTR	Gypsy		U89994	Burdock	DMU89994	6411bp	Derived from U89994 (g1905850)
11	FBgn0022937	Circe	nnnnnnnn	7450	complete	retro-LTR	CIRCE	LTR	Gypsy		nnnnnnnn	Circe	CIRC	7450bp	
12	FBgn0000349	copia	X02599	5143	complete	retro-LTR	Copia_I-int	LTR	Copia		X02599	copia	DMCOPIA	5143bp	Derived from X02599 (g7740)
12	FBgn0000349	copia	X02599	5143	complete	retro-LTR	Copia_LTR	LTR	Copia		X02599	copia	DMCOPIA	5143bp	Derived from X02599 (g7740)
13	FBgn0043969	diver	AC004377	6112	complete	retro-LTR	DIVER_I-int	LTR	Pao		AC004377	diver	Tinker	6112bp	
13	FBgn0043969	diver	AC004377	6112	complete	retro-LTR	DIVER_LTR	LTR	Pao		AC004377	diver	Tinker	6112bp	
14	FBgn0063439	diver2	nnnnnnnn	4917	complete	retro-LTR	DIVER2_I-int	LTR	Pao		nnnnnnnn	diver2	DIVER2	4917bp	
14	FBgn0063439	diver2	nnnnnnnn	4917	complete	retro-LTR	DIVER2_LTR	LTR	Pao		nnnnnnnn	diver2	DIVER2	4917bp	
15	FBgn0062343	Dm88	nnnnnnnn	4558	complete	retro-LTR	Copia2_I-int	LTR	Copia		nnnnnnnn	Dm88	DM88	4558bp	
15	FBgn0062343	Dm88	nnnnnnnn	4558	complete	retro-LTR	Copia2_LTR_DM	LTR	Copia						
16	FBgn0014947	flea	Z27119	5034	complete	retro-LTR	BLASTOPIA_I-int	LTR	Gypsy		Z27119	flea	DMBLPP	5034bp	Derived from Z27119 (g415797)
16	FBgn0014947	flea	Z27119	5034	complete	retro-LTR	BLASTOPIA_LTR	LTR	Gypsy		Z27119	flea	DMBLPP	5034bp	Derived from Z27119 (g415797)
